,ADHDKNOW,DOC16A,DOC18A,DOC15A,GIVBLOOD,DOC20A,DOCVIG,DOCRELY,DOCASKME,DOCDECID,DOCSAT,DOCCOSTS,HEALTH1,EVCRACK,EVIDU,HEALTH,OUTSIDER,DOC19A,ILLPHYS,IMPRVMED,MNTLILL,IMPRVEAT,ALLERGIC,GENEPROB,NATHEAL,HEALTH30,MEDSYMPS,HLTHFREL,HLTHMAG1,HLTHMAG2,HLTHPAPR,HLTHWWW,HLTHTV,HLTHDOC,PHYSHLTH,MNTLHLTH
1,1,1,1,1,6,1,6,7,2,7,6,4,2,3,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2
2,1,1,1,1,4,1,1,5,3,4,3,2,4,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2
3,5,2,2,6,1,2,1,5,2,4,6,5,4,3,3,3,5,3,5,5,5,5,5,5,1,2,3,3,2,2,2,3,2,3,2,10
4,5,2,3,6,1,5,2,7,2,7,4,3,2,3,3,1,3,3,4,4,5,3,4,5,3,3,2,2,2,2,2,5,2,2,2,2
5,5,3,2,3,1,6,2,2,2,7,4,6,4,3,3,3,3,5,5,5,4,5,5,5,1,1,3,3,2,2,2,2,3,3,2,18
6,1,1,1,1,6,1,3,7,2,6,5,4,3,3,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2
7,3,2,2,2,1,2,4,4,2,6,5,5,3,1,1,2,3,3,3,2,3,3,2,3,1,1,5,3,2,3,2,2,2,3,1,1
8,5,2,2,6,1,2,6,5,2,3,6,5,4,3,3,3,3,5,3,2,5,3,3,2,2,1,3,1,1,1,1,1,1,1,1,1
9,1,1,1,1,6,1,1,6,2,7,4,3,3,3,2,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,20
10,5,3,3,2,1,3,2,2,2,3,6,6,4,2,2,3,3,2,2,2,3,2,4,3,2,3,3,1,1,1,1,1,1,1,11,9
11,5,3,3,6,1,4,2,6,4,4,3,3,3,3,3,1,3,3,2,2,4,3,2,3,1,1,2,3,2,2,2,2,2,3,2,20
